Country,Measure Reference,Measure Name,Measure Description,Investment/Reform,Milestone/Target Reference,Milestone/Target Name,Milestone/Target Description,Milestone or Target,Loans/Grants,Completion Year-Quarter,Qualitative Indicator,Unit of Measure,Baseline,Goal,Measure CSR Reference List,Status,Instalment Nr,Disbursement Date,Policy Pillars / REPowerEU
Hungary,HU-C[C9]-R[R14],"Training scheme, and support scheme, on procurement for micro-, small and medium-sized enterprises to facilitate their participation in public procurement procedures","The objective of this reform is to facilitate the participation of micro-, small and medium-sized enterprises (with a focus on micro- and small enterprises) in public procurement procedures. 
For this purpose, Hungary shall develop and implement a training scheme providing, free of charge, the most important theoretical and practical information to micro-, small and medium-sized enterprises on how they may successfully participate in public procurement procedures. The training shall be based on newly developed trainings and e-learning materials. Newly developed training materials shall cover at least matters of public procurement procedures and their preparation stage, the effective use of remedies and the specificities arising in the performance of a public contract. The evaluation of the efficiency of the trainings shall be ensured. Trainings shall be provided to at least 1 000 micro-, small and medium-sized enterprises by Q1 2024 and to at least 2 200 micro-, small and medium-sized enterprises by Q2 2026. An evaluation report evaluating the effectiveness and efficiency of the training measure shall be made publicly available by Q2 2026. 
Hungary shall also set up, by Q1 2023, and implement a support scheme that shall provide lump-sum compensation, based on objective, non-discriminatory and transparent selection criteria, to be paid directly to at least 1 800 micro-, small and medium-sized enterprises (with a focus on micro- and small enterprises) by Q2 2026, for their costs associated with their participation in public procurement procedures. By Q3 2024, a mid-term evaluation of the support scheme, and by Q2 2026, a final evaluation of the support scheme shall be carried out, on the programme’s added value and effectiveness. 
The implementation of the reform shall be completed by Q2 2026.",Reform,HU-C[C9]-R[R14]-M[209],"Setting up a support scheme for compensating the costs associated with participating in public procurements of micro-, small and medium-sized enterprises","A support scheme providing a lump-sum compensation – based on objective, non-discriminatory and transparent selection criteria – to be paid directly to micro-, small and medium-sized enterprises (with a particular focus on micro- and small enterprises) for their costs associated with their participation in public procurement procedures to facilitate their participation in public procurements and reduce their entry barriers shall be launched. Financial support under the support scheme shall cover, in particular, the cost of using an accredited public procurement consultant, but shall not cover all the costs of participation in a public procurement procedure borne by the respective enterprise.
Only those micro-, small and medium-sized enterprises shall be eligible for the support who (i) submitted a valid bid in a public procurement procedure (i.e. tenderers that have submitted a complete tender documentation for a tender procedure, meeting both the exclusion and selection criteria) and (ii) that have not participated in another public procurement procedure in the twelve months prior to submitting the bid in the public procurement procedure.
The number of applications for support from an individual enterprise shall be limited.",milestone,Grants,2023-Q1,Launch of the scheme,-,-,-,2019.CSR3; 2020.CSR4; 2022.CSR4,Not Assessed,2,-,-
Hungary,HU-C[C9]-R[R14],"Training scheme, and support scheme, on procurement for micro-, small and medium-sized enterprises to facilitate their participation in public procurement procedures","The objective of this reform is to facilitate the participation of micro-, small and medium-sized enterprises (with a focus on micro- and small enterprises) in public procurement procedures. 
For this purpose, Hungary shall develop and implement a training scheme providing, free of charge, the most important theoretical and practical information to micro-, small and medium-sized enterprises on how they may successfully participate in public procurement procedures. The training shall be based on newly developed trainings and e-learning materials. Newly developed training materials shall cover at least matters of public procurement procedures and their preparation stage, the effective use of remedies and the specificities arising in the performance of a public contract. The evaluation of the efficiency of the trainings shall be ensured. Trainings shall be provided to at least 1 000 micro-, small and medium-sized enterprises by Q1 2024 and to at least 2 200 micro-, small and medium-sized enterprises by Q2 2026. An evaluation report evaluating the effectiveness and efficiency of the training measure shall be made publicly available by Q2 2026. 
Hungary shall also set up, by Q1 2023, and implement a support scheme that shall provide lump-sum compensation, based on objective, non-discriminatory and transparent selection criteria, to be paid directly to at least 1 800 micro-, small and medium-sized enterprises (with a focus on micro- and small enterprises) by Q2 2026, for their costs associated with their participation in public procurement procedures. By Q3 2024, a mid-term evaluation of the support scheme, and by Q2 2026, a final evaluation of the support scheme shall be carried out, on the programme’s added value and effectiveness. 
The implementation of the reform shall be completed by Q2 2026.",Reform,HU-C[C9]-R[R14]-M[210],Carrying out of a mid-term evaluation on the added value and effectiveness of the support scheme,"A mid-term evaluation report on the added value and effectiveness of the support scheme shall be made publicly available. 
The evaluation shall be based in particular on: (i) interest in the financial support (participation in the programme), (ii) the winning rate of micro-, small and medium-sized enterprises having participated in the programme in the public procurement procedures and (iii) feedback provided by micro-, small and medium-sized enterprises having received support. The evaluation shall also analyse in which sectors the participating enterprises are active and whether those correspond to the sectors where participation of micro-, small and medium-sized enterprises is generally low. 
The mid-term evaluation shall analyse whether enterprises in other sectors shall be specifically targeted with dedicated communication activities to raise awareness of the programme and whether the delivery of the programme shall be changed in view of the results of the analysis.",milestone,Grants,2024-Q3,The final evaluation report for the mid-term evaluation is made publicly available,-,-,-,2019.CSR3; 2020.CSR4; 2022.CSR4,Not Assessed,5,-,-
Hungary,HU-C[C9]-R[R14],"Training scheme, and support scheme, on procurement for micro-, small and medium-sized enterprises to facilitate their participation in public procurement procedures","The objective of this reform is to facilitate the participation of micro-, small and medium-sized enterprises (with a focus on micro- and small enterprises) in public procurement procedures. 
For this purpose, Hungary shall develop and implement a training scheme providing, free of charge, the most important theoretical and practical information to micro-, small and medium-sized enterprises on how they may successfully participate in public procurement procedures. The training shall be based on newly developed trainings and e-learning materials. Newly developed training materials shall cover at least matters of public procurement procedures and their preparation stage, the effective use of remedies and the specificities arising in the performance of a public contract. The evaluation of the efficiency of the trainings shall be ensured. Trainings shall be provided to at least 1 000 micro-, small and medium-sized enterprises by Q1 2024 and to at least 2 200 micro-, small and medium-sized enterprises by Q2 2026. An evaluation report evaluating the effectiveness and efficiency of the training measure shall be made publicly available by Q2 2026. 
Hungary shall also set up, by Q1 2023, and implement a support scheme that shall provide lump-sum compensation, based on objective, non-discriminatory and transparent selection criteria, to be paid directly to at least 1 800 micro-, small and medium-sized enterprises (with a focus on micro- and small enterprises) by Q2 2026, for their costs associated with their participation in public procurement procedures. By Q3 2024, a mid-term evaluation of the support scheme, and by Q2 2026, a final evaluation of the support scheme shall be carried out, on the programme’s added value and effectiveness. 
The implementation of the reform shall be completed by Q2 2026.",Reform,HU-C[C9]-R[R14]-T[211],"Number of micro-, small and medium-sized enterprises having received lump-sum support for public procurement cost compensation",The target is reached when at least 1 800 enterprises participating in public procurements as bidders have received compensation for their associated costs in the support scheme in accordance with the requirements set out in milestone 209 as proven by the official payments and accounting records of the authority managing the support scheme.,target,Grants,2026-Q2,-,Number,0,1800,2019.CSR3; 2020.CSR4; 2022.CSR4,Not Assessed,8,-,-
Hungary,HU-C[C9]-R[R14],"Training scheme, and support scheme, on procurement for micro-, small and medium-sized enterprises to facilitate their participation in public procurement procedures","The objective of this reform is to facilitate the participation of micro-, small and medium-sized enterprises (with a focus on micro- and small enterprises) in public procurement procedures. 
For this purpose, Hungary shall develop and implement a training scheme providing, free of charge, the most important theoretical and practical information to micro-, small and medium-sized enterprises on how they may successfully participate in public procurement procedures. The training shall be based on newly developed trainings and e-learning materials. Newly developed training materials shall cover at least matters of public procurement procedures and their preparation stage, the effective use of remedies and the specificities arising in the performance of a public contract. The evaluation of the efficiency of the trainings shall be ensured. Trainings shall be provided to at least 1 000 micro-, small and medium-sized enterprises by Q1 2024 and to at least 2 200 micro-, small and medium-sized enterprises by Q2 2026. An evaluation report evaluating the effectiveness and efficiency of the training measure shall be made publicly available by Q2 2026. 
Hungary shall also set up, by Q1 2023, and implement a support scheme that shall provide lump-sum compensation, based on objective, non-discriminatory and transparent selection criteria, to be paid directly to at least 1 800 micro-, small and medium-sized enterprises (with a focus on micro- and small enterprises) by Q2 2026, for their costs associated with their participation in public procurement procedures. By Q3 2024, a mid-term evaluation of the support scheme, and by Q2 2026, a final evaluation of the support scheme shall be carried out, on the programme’s added value and effectiveness. 
The implementation of the reform shall be completed by Q2 2026.",Reform,HU-C[C9]-R[R14]-M[212],Completion of the final evaluation on the added value and effectiveness of the support scheme,"A final evaluation report on the added value and effectiveness of the support scheme shall be made publicly available. 
The evaluation shall be based in particular on (i) interest in the financial support (participation in the programme), (ii) the winning rate of micro-, small and medium-sized enterprises having participated in the support scheme in public procurement procedures and (iii) feedback provided by micro-, small and medium-sized enterprises having received support. The evaluation shall also analyse in which sectors the participating enterprises are active and whether those correspond to the sectors where participation of micro-, small and medium-sized enterprises is generally low.",milestone,Grants,2026-Q2,Final evaluation report is made publicly available,-,-,-,2019.CSR3; 2020.CSR4; 2022.CSR4,Not Assessed,8,-,-
Hungary,HU-C[C9]-R[R15],Strengthening the role and powers of the National Judicial Council to counterbalance the powers of the President of the National Office for the Judiciary,"The objective of the reform is to establish stronger powers for the National Judicial Council (NJC) so that it can effectively exercise its constitutional role in supervising the central administration of courts, while maintaining the Council’s independence based on its members being elected by judges. The reform shall result in a strengthening of the independence and impartiality of courts and judges established by law in accordance with Article 19 of the Treaty on European Union (TEU) and the relevant EU acquis.
The reform shall establish stronger powers for the NJC and shall include legislative amendments to ensure that the NJC shall give a motivated binding opinion on a number of matters regarding both individual decisions and regulations.
The reform shall also ensure that the NJC has adequate resources, including staff and offices, to carry out its tasks in an effective manner. 
Before tabling the draft laws required for the implementation of this reform, a stakeholder consultation shall be organised, allowing at least the NJC, judicial associations, the Hungarian Bar Association, civil society organisations, the Kúria, the National Office for the Judiciary (NOJ), the Constitutional Court, and the Prosecutor General to give comments within no less than 15 days.
The implementation of the reform shall be completed by Q1 2023 and before the first payment request under the recovery and resilience plan.",Reform,HU-C[C9]-R[R15]-M[213],Entry into force of legislative amendments to strengthen the role of the National Judicial Council while safeguarding its independence,"Before the submission of the first payment request under the recovery and resilience plan, legislative amendments shall enter into force and start being applied ensuring the strengthening of the role and powers of the National Judicial Council (NJC) to effectively counterbalance the powers of the President of the National Office for the Judiciary (NOJ). 

The legislative amendments shall: 
a) establish stronger powers for the NJC so that it can effectively exercise its constitutional role in supervising the central administration of courts, while maintaining the Council’s independence based on its members being elected by judges. 

Regarding individual decisions, the legislative amendments shall ensure that the NJC shall give a motivated binding opinion on the following matters: 
(i) the annulment, by the President of the NOJ, of appointment procedures for judicial and court executive positions where there is at least one eligible candidate who has been supported by the judges of the given court; 
(ii) the transfer of judges, including secondments, to another court by the President of the NOJ referred to in Sections 27, 27/A, 31 and 32 of Act CLXII of 2011, except for secondments to the NOJ; 
(iii) the removal, by the President of the NOJ, of judges without their consent from the pool of judges that hear special cases, including administrative cases; 
(iv) the suitability of candidates for the post of President and Vice-President of the NOJ, that can be proposed by the President of the Republic or the President of the NOJ, respectively; the suitability criteria, including independence, impartiality, probity and integrity, shall be determined by the law. The legislative amendments shall ensure that the candidates found unsuitable by the NJC shall have access to an accelerated judicial review before the competent court.

Regarding regulations, the legislative amendments shall ensure that the NJC shall give a motivated binding opinion on the following matters:
(i) the points system for the assessment of applications for judicial posts within the legislative framework; 
(ii) the detailed conditions for the award of bonuses and other benefits to judges and court executives; 
(iii) the rules relating to the training system for judges; 
(iv) the data sheet and methods for the assessment of the workload of judges, as well as the determination of the ‘national workload for contentious and non-contentious proceedings broken down according to judicial level and case types’, 
(v) the number of judicial posts in each court within the framework determined in the annual budget, including the Kúria, and their departments; 

b) establish the right of the NJC to have access to all documents, information and data (including personal data) related to the administration of the courts. In addition, the legislative amendments shall provide that the NJC shall determine the structure of the biannual report of the President of the NOJ;

c) endow the NJC with legal capacity and autonomy in disbursement of its budget, and ensure that the NJC has adequate resources, including staff and offices, to carry out its tasks in an effective manner. The legislative amendments shall also provide that, in order to carry out their tasks in the NJC, judges-members shall be entitled to be relieved from their adjudicating duties to the extent regional court (törvényszék) presidents are relieved from their adjudicating duties. The legislative amendments shall provide that judges-members of the NJC cannot be re-elected except for the next term of office, that judges-members of the NJC shall elect from among themselves the chairperson of the NJC, and that court presidents and vice-presidents as members of the NJC shall not participate in the deliberation and vote on matters relating to their administrative activities;

d) establish the right for the NJC to seize the competent court and the Constitutional Court to defend its prerogatives and enforce its rights;

e) establish an obligation to consult the NJC on legislative proposals affecting the justice system and the right to propose to the Government to initiate new legislation on the same matters;

f) establish in the law non-discretionary rules on the designation of ad interim court presidents through a pre-set order of positions within a court as follows: (i) in the absence of a court president, the president’s competences are exercised by the vice-president; (ii) in the absence of a vice-president, the president’s competences are exercised by the head of a department of judges with the longest tenure as a judge; (iii) in the absence of a head of department, the president’s competences are exercised by the presiding judge with the longest tenure as a judge;

g) prohibit the reintegration, by the President of the NOJ, of judges, following their secondment, to a court instance higher than the court in which they adjudicated before their secondment.",milestone,Grants,2023-Q1,Provision in the legislative amendments indicating their entry into force,-,-,-,2019.CSR4; 2022.CSR4,Not Assessed,1,-,-
Hungary,HU-C[C9]-R[R16],Strengthening judicial independence of the Supreme Court (Kúria),"The objective of the reform is to strengthen the judicial independence of the Supreme Court (Kúria). The reform shall result in a strengthening of the independence and impartiality of courts and judges established by law in accordance with Article 19 of the TEU and the relevant EU acquis. 
The reform shall consist of amending the rules on the election of the Kúria President; the rules on the case allocation scheme of the Kúria; and the rules on the functioning of the Kúria to (i) establish stronger powers for the judicial council of the Kúria and the departments of judges (‘kollégium’) concerned, (ii) remove the possibility for members of the Constitutional Court to become judges and then be appointed to the Kúria without following the normal application procedure, and (iii) ensure that the NJC gives a motivated binding opinion on the suitability of candidates for the posts of President and Vice President of the Kúria; the suitability criteria, including independence, impartiality, probity and integrity, shall be determined by the law. The candidates found unsuitable by the NJC shall have access to an accelerated judicial review before the competent court.
The reform shall also ensure that the strengthened powers of the NJC referred to in reform C9.R15 also apply in relation to the Kúria President when acting as appointing authority (in line with Act CLXII of 2011).
Before tabling the draft amendments required for the implementation of this reform, a stakeholder consultation shall be organised, allowing at least the NJC, judicial associations, the Hungarian Bar Association, civil society organisations, the Kúria, the NOJ, the Constitutional Court, and the Prosecutor General to give comments within no less than 15 days.
The implementation of the reform shall be completed by Q1 2023 and before the first payment request under the recovery and resilience plan.",Reform,HU-C[C9]-R[R16]-M[214],Entry into force of amendments to strengthen judicial independence of the Supreme Court,"Before the submission of the first payment request under the recovery and resilience plan: 
a) legislative amendments shall enter into force and start being applied, which shall amend the rules on the election of the Kúria President in order to ensure that: (i) the candidates have at least five years’ experience as a judge; (ii) the Kúria President cannot be re-elected; (iii) the NJC gives a motivated binding opinion on the suitability of the candidates for the post of Kúria President that can be proposed by the President of the Republic. The suitability criteria, including independence, impartiality, probity and integrity, shall be determined by the law. The legislative amendments shall ensure that the candidates found unsuitable by the NJC shall have access to an accelerated judicial review before the competent court;

b) legislative amendments, and other amendments, to the rules on the case allocation scheme of the Kúria shall enter into force and start being applied, which shall ensure that: (i) electronically filed cases be given a case number without human intervention; (ii) cases be allocated to chambers following pre-established, objective criteria; (iii) the bench hearing the case be composed following an algorithm prescribed in advance; (iv) the parties to proceedings be able to verify on the basis of the case file whether the rules on case allocation have been duly applied; (v) the judicial council of the Kúria and the departments of judges (‘kollégium’) concerned give a binding opinion on the case allocation scheme;

c) legislative amendments shall enter into force and start being applied, which shall amend the rules on the functioning of the Kúria by 
(i) establishing stronger powers for the judicial council of the Kúria and the departments of judges (‘kollégium’) concerned, ensuring, in particular, that they shall give a binding opinion on 
(a) candidates for the post of chairs and vice-chairs of departments of judges, presiding judges and the Secretary General of the Kúria;
(b) secondments to the Kúria;
(ii) removing the possibility for members of the Constitutional Court to become judges and then be appointed to the Kúria without following the normal application procedure,
(iii) ensuring that the NJC gives a motivated binding opinion on the suitability of candidates for the post of Vice President of the Kúria that can be proposed by the Kúria President. The suitability criteria, including independence, impartiality, probity and integrity, shall be determined by the law. The legislative amendments shall ensure that candidates found unsuitable by the NJC shall have access to an accelerated judicial review before the competent court.
(iv) ensuring that the strengthened powers of the NJC referred to in milestone 213 also apply in relation to the Kúria President when acting as appointing authority (in line with Act CLXII of 2011).",milestone,Grants,2023-Q1,"Adopted and effective amendments to the rules on the election of the Kúria President, the case allocation scheme, and the functioning of the Kúria",-,-,-,2019.CSR4; 2022.CSR4,Not Assessed,1,-,-
Hungary,HU-C[C9]-R[R17],Removing obstacles to references for preliminary rulings to the Court of Justice of the European Union,"The objective of the reform is to remove obstacles for courts to independently refer cases for preliminary rulings to the Court of Justice of the European Union (CJEU), thereby ensuring compliance with the CJEU’s jurisprudence. The reform shall result in a strengthening of the independence and impartiality of courts and judges established by law in accordance with Article 19 of the TEU and the relevant EU acquis. 
The reform shall consist of amending Sections 666 et seq. of the Criminal Procedure Code to remove the possibility for the Kúria to review the legality of the decision of a judge to make a preliminary reference to the CJEU, and Section 490 of the Criminal Procedure Code on staying the proceedings to remove any obstacle to a court to make a preliminary reference in line with Article 267 TFEU.
Before tabling the draft laws required for the implementation of this reform, a stakeholder consultation shall be organised, allowing at least the NJC, judicial associations, the Hungarian Bar Association, civil society organisations, the Kúria, the NOJ, the Constitutional Court, and the Prosecutor General to give comments within no less than 15 days.
The implementation of the reform shall be completed by Q1 2023 and before the first payment request under the recovery and resilience plan.",Reform,HU-C[C9]-R[R17]-M[215],Entry into force of legislative amendments to remove obstacles to references for preliminary rulings to the Court of Justice of the European Union,"Before the submission of the first payment request under the recovery and resilience plan, legislative amendments shall enter into force and start being applied ensuring that: 
(i) Sections 666 et seq. of the Criminal Procedure Code are amended in order to remove the possibility for the Kúria to review the legality of the decision of a judge to make a preliminary reference to the Court of Justice of the European Union, and (ii) Section 490 of the Criminal Procedure Code on staying the proceedings is amended in order to remove any obstacle to a court to make a preliminary reference in line with Article 267 TFEU.",milestone,Grants,2023-Q1,Provision in the legislative amendments indicating their entry into force,-,-,-,2019.CSR4; 2022.CSR4,Not Assessed,1,-,-
Hungary,HU-C[C9]-R[R18],Reform regarding the review of final judgments by the Constitutional Court,"The reform shall consist of removing the possibility, introduced in 2019 by amending Section 27 of Act CLI of 2011, for public authorities to challenge before the Constitutional Court final judicial decisions. The reform shall result in a strengthening of the independence and impartiality of courts and judges established by law in accordance with Article 19 of the TEU and the relevant EU acquis. 
Before tabling the draft laws required for the implementation of this reform, a stakeholder consultation shall be organised, allowing at least the NJC, judicial associations, the Hungarian Bar Association, civil society organisations, the Kúria, the NOJ, the Constitutional Court, and the Prosecutor General to give comments within no less than 15 days.
The implementation of the reform shall be completed by Q1 2023 and before the first payment request under the recovery and resilience plan.",Reform,HU-C[C9]-R[R18]-M[216],Entry into force of legislative amendments to remove the possibility for public authorities to challenge final decisions before the Constitutional Court,"Before the submission of the first payment request under the recovery and resilience plan, legislative amendments shall enter into force and start being applied ensuring that the possibility, introduced in 2019 by amending Section 27 of Act CLI of 2011, for public authorities to challenge before the Constitutional Court final judicial decisions, is removed.",milestone,Grants,2023-Q1,Provision in the legislative amendments indicating their entry into force,-,-,-,2019.CSR4; 2022.CSR4,Not Assessed,1,-,-
Hungary,HU-C[C9]-R[R19],"Reinforced legal provisions setting out implementation, monitoring, and audit and control arrangements to guarantee the sound use of Union support","The objective of the reform is to ensure the effective implementation, monitoring, control and audit of Union support and the protection of the financial interests of the Union. 
For that purpose, legal provisions setting out the roles and responsibilities of bodies involved in the implementation, monitoring, control and audit of Union support in Hungary shall enter into force before the submission of the first payment request under the recovery and resilience plan, to ensure:
-  that risk-management, prevention, detection and correction of fraud, corruption, conflict of interest and double funding are strengthened;
-  that effective rules, procedures and control mechanisms are put in place concerning conflict of interest declarations; and
-  that staff in sensitive positions are regularly rotated and their effective oversight is ensured. 
In relation specifically to the recovery and resilience plan, the abovementioned legal provisions shall also establish the legal mandate by setting out the detailed roles and responsibilities of the bodies involved in the implementation, audit and control of the implementation of the recovery and resilience plan, set out rules related to the collection and reliability of data linked to the monitoring of the achievement of milestones and targets in the plan, procedures for the drawing up and reliability of the management declarations, audit summaries and payment requests, as well as procedures ensuring the collection of all data in accordance with Article 22 of the RRF Regulation.
As a complement to the abovementioned legal arrangements, Hungary shall develop and start applying comprehensive guidelines ensuring the effective prevention, detection and correction of conflict of interest situations before the submission of the first payment request. The guidelines shall set out in detail the related tasks and obligations for each of the bodies involved in the implementation, management and control of Union support ensuring the effective prevention, detection, control and correction of conflict of interest situations.
The implementation of the reform shall be completed before the submission of the first payment request under the recovery and resilience plan.",Reform,HU-C[C9]-R[R19]-M[217],"Legal mandate for the implementation, audit and control of the recovery and resilience plan","Entry into force of the Government Decree establishing the legal mandate for the bodies involved in the implementation, audit and control of the implementation of the recovery and resilience plan in Hungary before the submission of the first payment request under the recovery and resilience plan.
The decree shall at least set out the roles and responsibilities of those bodies ensuring (a) the collection and reliability of data linked to and monitoring of the achievement of milestones and targets; (b) that detailed procedures are in place for the drawing up and reliability of management declarations, audit summaries and payment requests; (c) that the necessary procedures to collect and store data on final recipients, contractors, subcontractors, and beneficial owners in accordance with Article 22 of Regulation (EU) 2021/241 establishing the Recovery and Resilience Facility are in place; (d) that rules on conflict of interest apply to all staff involved in the implementation, including acts preparatory thereto, control (including to internal and external evaluators in public procurement procedures) and audit of the Recovery and Resilience Plan and to all final recipients, contracting authorities, contractors, sub-contractors, as well as consultancy firms involved in project preparation and implementation; (e) that conflict of interest rules explicitly address situations involving family, emotional life, political or national affinity, economic interest or any other direct or indirect personal interest that may be perceived as a conflict of interest in line with Article 61 of Regulation (EU, Euratom) 2018/1046 and the related Commission Notice (‘Guidance on the avoidance and management of conflicts of interest under the Financial Regulation’ [C 121/01]); (f) that all persons under point (d) shall be obliged to issue a declaration of their absence of conflict of interest on a case by case basis if they are involved in the decision making concerning individual projects (in particular decisions on eligibility, risk assessment, selection of projects, interim and final control procedures, irregularity management, and audit-related decisions), which shall be stored for at least 5 years; (g) that the veracity of conflict of interest declarations is regularly and effectively controlled and the results of those controls are stored for at least five years; (h) that regular and effective oversight of staff in sensitive positions (such as dealing with irregularity management, controls and risk-assessment) is set out and that the regular rotation of staff in those positions is ensured based on a methodology that shall start to be applied no later than 31 March 2023; (i) that bidders shall not participate in tenders in public procurement procedures in case conflict of interest relevant to them in that specific tender is established.",milestone,Grants,2022-Q3,"Entry into force of the Government Decree on the roles and responsibilities of bodies involved in the implementation, audit and control of the Hungarian recovery and resilience plan",-,-,-,2019.CSR4; 2022.CSR4,Not Assessed,1,-,-
Hungary,HU-C[C9]-R[R19],"Reinforced legal provisions setting out implementation, monitoring, and audit and control arrangements to guarantee the sound use of Union support","The objective of the reform is to ensure the effective implementation, monitoring, control and audit of Union support and the protection of the financial interests of the Union. 
For that purpose, legal provisions setting out the roles and responsibilities of bodies involved in the implementation, monitoring, control and audit of Union support in Hungary shall enter into force before the submission of the first payment request under the recovery and resilience plan, to ensure:
-  that risk-management, prevention, detection and correction of fraud, corruption, conflict of interest and double funding are strengthened;
-  that effective rules, procedures and control mechanisms are put in place concerning conflict of interest declarations; and
-  that staff in sensitive positions are regularly rotated and their effective oversight is ensured. 
In relation specifically to the recovery and resilience plan, the abovementioned legal provisions shall also establish the legal mandate by setting out the detailed roles and responsibilities of the bodies involved in the implementation, audit and control of the implementation of the recovery and resilience plan, set out rules related to the collection and reliability of data linked to the monitoring of the achievement of milestones and targets in the plan, procedures for the drawing up and reliability of the management declarations, audit summaries and payment requests, as well as procedures ensuring the collection of all data in accordance with Article 22 of the RRF Regulation.
As a complement to the abovementioned legal arrangements, Hungary shall develop and start applying comprehensive guidelines ensuring the effective prevention, detection and correction of conflict of interest situations before the submission of the first payment request. The guidelines shall set out in detail the related tasks and obligations for each of the bodies involved in the implementation, management and control of Union support ensuring the effective prevention, detection, control and correction of conflict of interest situations.
The implementation of the reform shall be completed before the submission of the first payment request under the recovery and resilience plan.",Reform,HU-C[C9]-R[R19]-M[218],"Amendment of the legal provisions relating to the implementation, monitoring, control and audit of the European Structural and Investment Funds and the funds under Regulation (EU) 2021/1060 in Hungary","Entry into force of the amendment of the Government Decrees regulating the implementation, monitoring, control and audit of the European Structural and Investment Funds under Regulation (EU) 1303/2013 and the funds under Regulation (EU) 2021/1060 in Hungary before the submission of the first payment request under the recovery and resilience plan. The amendments shall ensure at least the following: (a) introduction of rules and procedures making the prevention, detection and correction of conflict of interest more efficient; (b) that rules on conflict of interest apply to all staff involved in the implementation, including acts preparatory thereto, control (including to internal and external evaluators in public procurement procedures) and audit of the above mentioned funds and to all beneficiaries and final recipients, contracting authorities, contractors, sub-contractors, as well as consultancy firms involved in project preparation and implementation; (c) that conflict of interest rules explicitly address situations involving family, emotional life, political or national affinity, economic interest or any other direct or indirect personal interest that may be perceived as a conflict of interest in line with Article 61 of Regulation (EU, Euratom) 2018/1046 and the related Commission Notice (‘Guidance on the avoidance and management of conflicts of interest under the Financial Regulation’ [C 121/01]); (d) that all persons under point (b) shall be obliged to issue a declaration of their absence of conflict of interest on a case by case basis if they are involved in the decision making concerning individual projects (in particular decisions on eligibility, risk assessment, selection of projects, interim and final control procedures, irregularity management, and audit-related decisions), which shall be stored for at least five years; (e) that the veracity of conflict of interest declarations is regularly and effectively controlled and the results of those controls are stored for at least five years; (f) that regular and effective oversight of staff in sensitive positions (such as dealing with irregularity management, controls and risk-assessment) is set out and that the regular rotation of staff in those positions is ensured based on a methodology that shall start to be applied no later than 31 March 2023; (g) that bidders shall not participate in tenders in public procurement procedures in case conflict of interest relevant to them in that specific tender is established.",milestone,Grants,2022-Q3,"Provision in the Government Decrees on the implementation, monitoring, control and audit of the European Structural and Investment Funds and the funds under Regulation (EU) 2021/1060 in Hungary indicating entry into force",-,-,-,2019.CSR4; 2022.CSR4,Not Assessed,1,-,-
Hungary,HU-C[C9]-R[R19],"Reinforced legal provisions setting out implementation, monitoring, and audit and control arrangements to guarantee the sound use of Union support","The objective of the reform is to ensure the effective implementation, monitoring, control and audit of Union support and the protection of the financial interests of the Union. 
For that purpose, legal provisions setting out the roles and responsibilities of bodies involved in the implementation, monitoring, control and audit of Union support in Hungary shall enter into force before the submission of the first payment request under the recovery and resilience plan, to ensure:
-  that risk-management, prevention, detection and correction of fraud, corruption, conflict of interest and double funding are strengthened;
-  that effective rules, procedures and control mechanisms are put in place concerning conflict of interest declarations; and
-  that staff in sensitive positions are regularly rotated and their effective oversight is ensured. 
In relation specifically to the recovery and resilience plan, the abovementioned legal provisions shall also establish the legal mandate by setting out the detailed roles and responsibilities of the bodies involved in the implementation, audit and control of the implementation of the recovery and resilience plan, set out rules related to the collection and reliability of data linked to the monitoring of the achievement of milestones and targets in the plan, procedures for the drawing up and reliability of the management declarations, audit summaries and payment requests, as well as procedures ensuring the collection of all data in accordance with Article 22 of the RRF Regulation.
As a complement to the abovementioned legal arrangements, Hungary shall develop and start applying comprehensive guidelines ensuring the effective prevention, detection and correction of conflict of interest situations before the submission of the first payment request. The guidelines shall set out in detail the related tasks and obligations for each of the bodies involved in the implementation, management and control of Union support ensuring the effective prevention, detection, control and correction of conflict of interest situations.
The implementation of the reform shall be completed before the submission of the first payment request under the recovery and resilience plan.",Reform,HU-C[C9]-R[R19]-M[219],"Adoption and start of application of guidelines to ensure the effective the prevention, detection and correction of conflict of interest for the staff of all bodies involved in the implementation, control and audit of Union support in Hungary","Before the submission of the first payment request under the recovery and resilience plan comprehensive guidelines ensuring the effective prevention, detection and correction of conflict of interest situations in line with Article 61 of Regulation (EU, Euratom) 2018/1046 and the related Commission Notice (‘Guidance on the avoidance and management of conflicts of interest under the Financial Regulation’ [C 121/01]) shall be adopted and start being applied. The guidelines shall set out detailed tasks and obligations for each of the bodies involved in the implementation, management and control of Union support ensuring the effective prevention, detection, control and correction of conflict of interest situations.",milestone,Grants,2022-Q4,Start of application of detailed guidelines on conflict of interest,-,-,-,2019.CSR4; 2022.CSR4,Not Assessed,1,-,-
