"Country","Recipient","Identification number <br/>(for legal persons)","Associated measure(s)","Amounts (€)","Recipient List Measure Descriptions"
"Bulgaria","SOFIYSKI UNIVERSITET ""SV.KLIMENT OHRIDSKI""","000670680","• Programme to support research and innovation","1.66E+7","The objective of the investment is to support Bulgaria’s research and innovation performance, technology transfer and information-sharing. 
The investment consists in providing financial support to projects by small and mediumsized enterprises and higher education/research institutions, as well as to innovation programmes by higher education institutions."
"Bulgaria","Ministry of culture","000695160","• Digitisation of archives","1.66E+7","The objective of the investment is to digitise the content of archives, provide access to them and allow for their preservation.
The measure consists in the publication of a methodology, digitising content and making it available on an e-platform.

"
"Bulgaria","Municipality of Yambol","000970496","• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","1.64E+7","The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
"Bulgaria","Municipality of Plovdiv","000471504","• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for energy-efficient street lighting systems, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","1.47E+7","The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase energy efficiency and reduce energy costs for municipal lighting systems. 
The measure consists in support for energy-efficient street lighting systems.|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
"Bulgaria","Ministry of Labor and Social Policy through the Labor Market Policy Directorate","000695395","• Development of the social economy, 
• Digital skills, 
• Infrastructure works in long-term care establishments, 
• Provision of assisting devices to persons with permanent disabilities","1.45E+7","The objective of this investment is to promote the social economy by providing 
assistance to the development of social and solidarity economy enterprises and 
organisations. 
The investment shall encompass the construction of focus centres for the social and 
solidarity economy, which shall support social and solidarity economy enterprises and 
organisations by providing counselling activities and technical assistance, including 
through assisting in the digitalisation of the business processes of those enterprises. 
The location of the focus centres shall ensure that every region, as identified by the 
level two of the nomenclature of territorial units for statistics classification, shall be 
served by one focus centre.
The implementation of the investment shall be completed by 31 December 2025.|The objective of this investment is to up- and re-skill the workforce, with a focus on digital skills. 
The investment consists in the provision of digital skills trainings, a platform for e-learning for adults as well as the renovation of digital clubs and the delivery of equipment to digital clubs.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the investment is to provide conditions for the social inclusion of persons with permanent disabilities. 
The measure consists of the provision of vouchers for acquisition of assisting devices.  

"
"Bulgaria","Kazanlak Municipality","000817778","• Green mobility, 
• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for energy-efficient street lighting systems, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","1.44E+7","The objective of the investment is to support sustainable urban mobility measures. 
The investment consists in purchasing zero-emission vehicles and building electric charging stations for public transport vehicles as well as cycling paths and pedestrian crossings.|The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase energy efficiency and reduce energy costs for municipal lighting systems. 
The measure consists in support for energy-efficient street lighting systems.|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
"Bulgaria","MUNICIPALITY OF SLIVEN","000590654","• Green mobility, 
• Infrastructure works in long-term care establishments, 
• Support for the renovation of the building stock","1.39E+7","The objective of the investment is to support sustainable urban mobility measures. 
The investment consists in purchasing zero-emission vehicles and building electric charging stations for public transport vehicles as well as cycling paths and pedestrian crossings.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively."
"Bulgaria","MUNICIPALITY  PAZARDZHIK","000351736","• Green mobility, 
• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","1.30E+7","The objective of the investment is to support sustainable urban mobility measures. 
The investment consists in purchasing zero-emission vehicles and building electric charging stations for public transport vehicles as well as cycling paths and pedestrian crossings.|The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
"Bulgaria","Centre for Human Resource Development and Regional Initiatives","131275351","• Digital skills","1.26E+7","The objective of this investment is to up- and re-skill the workforce, with a focus on digital skills. 
The investment consists in the provision of digital skills trainings, a platform for e-learning for adults as well as the renovation of digital clubs and the delivery of equipment to digital clubs."
"Bulgaria","MUNICIPALITY OF VRACA","000193115","• Green mobility, 
• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","1.26E+7","The objective of the investment is to support sustainable urban mobility measures. 
The investment consists in purchasing zero-emission vehicles and building electric charging stations for public transport vehicles as well as cycling paths and pedestrian crossings.|The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
"Bulgaria","Medical University - Sofia","831385737","• Programme to support research and innovation","1.23E+7","The objective of the investment is to support Bulgaria’s research and innovation performance, technology transfer and information-sharing. 
The investment consists in providing financial support to projects by small and mediumsized enterprises and higher education/research institutions, as well as to innovation programmes by higher education institutions."
"Bulgaria","MINISTRY OF AGRICULTURE","831909905","• Digitalisation of processes from farm to fork","1.20E+7","The objective of the measure is to facilitate the automated data exchange between the administration and farmers.
The measure consists in the electronic agricultural information system being accessible."
"Bulgaria","Municipality of Samokov","000776491","• Green mobility, 
• Infrastructure works in long-term care establishments, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","1.19E+7","The objective of the investment is to support sustainable urban mobility measures. 
The investment consists in purchasing zero-emission vehicles and building electric charging stations for public transport vehicles as well as cycling paths and pedestrian crossings.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
"Bulgaria","Supreme Judicial Council","121513231","• Strengthening  further developing and building on the Unified Information System of Courts","1.19E+7","The objective of this investment is to increase the digitalisation in the justice system. 
The investment consists in the upgrade of the Unified Information System of Courts."
"Bulgaria","Municipality of Kustendil","000261517","• Infrastructure works in educational facilities, 
• Support for energy-efficient street lighting systems, 
• Support for the renovation of the building stock, 
• Youth centres","1.03E+7","The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the measure is to increase energy efficiency and reduce energy costs for municipal lighting systems. 
The measure consists in support for energy-efficient street lighting systems.|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support social inclusion and supply skills trainings to young people, including Roma and young people from other vulnerable groups. 
The investment consists in the construction or renovation of youth centres and adoption of legal act(s) on a national focus centre."
"Bulgaria","Technical university of Sofia","831917834","• Programme to support research and innovation","9.98E+6","The objective of the investment is to support Bulgaria’s research and innovation performance, technology transfer and information-sharing. 
The investment consists in providing financial support to projects by small and mediumsized enterprises and higher education/research institutions, as well as to innovation programmes by higher education institutions."
"Bulgaria","Municipality of Silistra","000565537","• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for energy-efficient street lighting systems, 
• Support for the renovation of the building stock","9.86E+6","The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase energy efficiency and reduce energy costs for municipal lighting systems. 
The measure consists in support for energy-efficient street lighting systems.|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively."
"Bulgaria","Gorna Oryahovitsa Municipality","000133673","• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for energy-efficient street lighting systems, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","9.46E+6","The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase energy efficiency and reduce energy costs for municipal lighting systems. 
The measure consists in support for energy-efficient street lighting systems.|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
"Bulgaria","DOBRICH MUNICIPALITY","000852932","• Green mobility, 
• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for energy-efficient street lighting systems, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","9.30E+6","The objective of the investment is to support sustainable urban mobility measures. 
The investment consists in purchasing zero-emission vehicles and building electric charging stations for public transport vehicles as well as cycling paths and pedestrian crossings.|The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase energy efficiency and reduce energy costs for municipal lighting systems. 
The measure consists in support for energy-efficient street lighting systems.|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
"Bulgaria","MUNICIPALITY OF PETRICH","000024916","• Green mobility, 
• Infrastructure works in educational facilities, 
• Support for the renovation of the building stock, 
• Youth centres","8.97E+6","The objective of the investment is to support sustainable urban mobility measures. 
The investment consists in purchasing zero-emission vehicles and building electric charging stations for public transport vehicles as well as cycling paths and pedestrian crossings.|The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support social inclusion and supply skills trainings to young people, including Roma and young people from other vulnerable groups. 
The investment consists in the construction or renovation of youth centres and adoption of legal act(s) on a national focus centre."
"Bulgaria","University of Chemical Technology and Metallurgy","000670673","• Programme to support research and innovation","8.33E+6","The objective of the investment is to support Bulgaria’s research and innovation performance, technology transfer and information-sharing. 
The investment consists in providing financial support to projects by small and mediumsized enterprises and higher education/research institutions, as well as to innovation programmes by higher education institutions."
"Bulgaria","Medical University ""Prof. Dr. Paraskev Stoyanov"" - Varna","000083633","• Programme to support research and innovation","8.24E+6","The objective of the investment is to support Bulgaria’s research and innovation performance, technology transfer and information-sharing. 
The investment consists in providing financial support to projects by small and mediumsized enterprises and higher education/research institutions, as well as to innovation programmes by higher education institutions."
"Bulgaria","Municipality of Stara Zagora","000818022","• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for energy-efficient street lighting systems, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","8.18E+6","The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase energy efficiency and reduce energy costs for municipal lighting systems. 
The measure consists in support for energy-efficient street lighting systems.|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
"Bulgaria","MUNICIPALITY OF BLAGOEVGRAD","000024695","• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for energy-efficient street lighting systems, 
• Support for the renovation of the building stock, 
• Support of the cultural sector, 
• Youth centres","7.86E+6","The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase energy efficiency and reduce energy costs for municipal lighting systems. 
The measure consists in support for energy-efficient street lighting systems.|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
|The objective of the investment is to support social inclusion and supply skills trainings to young people, including Roma and young people from other vulnerable groups. 
The investment consists in the construction or renovation of youth centres and adoption of legal act(s) on a national focus centre."
"Bulgaria","obshtina VELINGRAD","000351580","• Green mobility, 
• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for the renovation of the building stock","7.82E+6","The objective of the investment is to support sustainable urban mobility measures. 
The investment consists in purchasing zero-emission vehicles and building electric charging stations for public transport vehicles as well as cycling paths and pedestrian crossings.|The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively."
"Bulgaria","MU - PLOVDIV","000455471","• Programme to support research and innovation","7.37E+6","The objective of the investment is to support Bulgaria’s research and innovation performance, technology transfer and information-sharing. 
The investment consists in providing financial support to projects by small and mediumsized enterprises and higher education/research institutions, as well as to innovation programmes by higher education institutions."
"Bulgaria","National STEM Center","131448376","• STEM centres and innovation in education","7.14E+6","The objective of this investment is to modernise teaching tools and enhance the learning in the fields of science, technology, engineering and math (STEM) subjects in Bulgarian schools. 
The investment consists in the construction or refurbishment of STEM centres or their training facilities and STEM laboratories in schools."
"Bulgaria","MUNICIPALITY OF VELIKO TARNOVO","000133634","• Infrastructure works in educational facilities, 
• Infrastructure works in long-term care establishments, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","7.14E+6","The objective of this investment is the modernisation of educational infrastructures. 
The investment consists in the construction or renovation of kindergartens, schools, vocational schools, school student dormitories and university campuses.|The objective of the investment is to perform infrastructure works in the building stock of the establishments where social services are provided to persons with disabilities and old people. 
The measure consists of construction and renovation works.
|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
"Bulgaria","BALKAN AD","820194079","• AttractInvestBG, 
• Economic transformation programme","6.90E+6","The objective of this investment is to create favourable conditions for investors in the industrial parks or zones. 

The investment consists of a grant scheme for the provision of infrastructure in the industrial parks or zones. 
|The objective of the Economic Transformation Programme is to support the innovation and growth of Bulgarian businesses, in particular by fostering their green and digital transition. 
The programme shall support Bulgarian small and medium-sized enterprises and mid-caps through financial instruments and grants. The programme shall consist of three funds: 

Fund 1 - Growth and Innovation; 
Fund 2 - Green Transition and Circular Economy; 
Fund 3 - Climate Neutrality and Digital Transformation.

Fund 1 is composed of the following instruments: 
o	Investment 2.1.a - Guarantee instrument for growth 
The guarantee instrument shall be implemented as a contribution to InvestEU with the European Investment Fund (EIF) as an implementing partner. By providing a portfolio guarantee, the instrument aims to alleviate the challenges faced by businesses in obtaining credit finance to quickly recover from the COVID-19 crisis and create opportunities for business expansion to achieve growth and sustainable development. The guarantee instrument shall target SMEs and small mid-caps and shall cover various financial products, including working capital funds, revolving credit lines, investment loans, and leasing.
To ensure that the investment complies with the ‘Do no significant harm’ Technical Guidance (2021/C58/01), the contribution agreement between the European Commission and the Bulgarian Government shall: 
-	require the application of the Commission’s technical guidance on sustainability proofing for the InvestEU Fund; and 
-	exclude the following list of activities and assets from eligibility: (i) activities and assets related to fossil fuels, including downstream use ; (ii) activities and assets under the EU Emission Trading System (ETS) achieving projected greenhouse gas emissions that are not lower than the relevant benchmarks . 
The implementation of this investment shall be completed by 30 June 2026 when the InvestEU Investment Committee approves finance or investment operations amounting to 100% of the total amount of finance or investment targeted.
o	Investment 2.1.b - Equity instruments for growth 
The objective of this measure is to alleviate the long-lasting economic negative impact of the COVID-19 crisis on Bulgarian undertakings. Equity growth instruments, including venture capital funds, growth funds, mezzanine funds, redemption funds and private debt funds, will be provided to SMEs and mid-caps.
The equity instruments shall be implemented by the EIF as a financial partner (implementing partner) through a direct award to the EIF by a dedicated RRF funding agreement to be signed between the Republic of Bulgaria and the EIF for the management of the RRF supported equity operations. 
For general purpose corporate finance instruments, the investment policy shall:
-	be adopted by the governing bodies of the financial instrument;
-	be in line with the Commission’s Guidance Note of 22 January 2021 (SWD(2021) 12 final) related to financial instruments;
-	include selection criteria to ensure compliance with the ‘Do no significant harm’ Technical Guidance (2021/C58/01) of supported transactions under this measure  
o	through the use of sustainability proofing; 
o	by requiring that beneficiaries that derived more than 50% of their direct revenues during the preceding financial year from activities or assets on the following list of activities to adopt and publish green transition plans: (i) activities related to fossil fuels, including downstream use ; (ii) activities under the EU Emission Trading System (ETS) achieving projected greenhouse gas emissions that are not lower than the relevant benchmarks ; and (iii) activities related to waste landfills, incinerators  and mechanical biological treatment plants . This requirement could be implemented, for example, by relying on the EIF’s new restricted sectors (non-infra equity Funds – Paris alignment framework), adjusted by certain additional restrictions on ETS sectors and certain transport activities; and
o	by requiring the verification of legal compliance with the relevant EU and national environmental legislation of the beneficiary by the EIF for all transactions, including those exempted from sustainability proofing.
The implementation of this investment shall be completed by 30 June 2026 (approval of operations by the responsible Investment Committee amounting to 100% of the overall amount of financing allocated to equity instruments for Growth).

o	Investment 2.1.c - Grant scheme for technological modernisation
The objective of the investment is to provide grants to SMEs for technological modernisation.
The investment consists of a grant scheme for the implementation of projects by SMEs. 

o	Investment 2.1.d - Grant scheme for information and communication technology and cybersecurity in small and medium enterprises
The objective of the investment is to provide grants to SMEs for digitalisation.
The investment consists of a grant scheme for the implementation of projects by SMEs. 

o	Investment 2.1.e - Innovation pool (Equity instruments for innovation) 
The investment consists of setting up a Fund to implement equity instruments for innovation with the objective to increase the innovation capacity of companies, accelerate their productivity improvements and the transition to a knowledge economy. The equity instruments shall include venture capital funds, technology transfer funds, seed and social impact funds.
The equity instruments shall be implemented by the EIF as a financial partner (implementing partner) through a direct award to the EIF by a dedicated RRF funding agreement to be signed between the Republic of Bulgaria and the EIF for the management of the RRF supported equity operations.  
For general purpose corporate finance instruments, the investment policy shall:
-	be  adopted  by  the  governing  bodies of the financial instrument;
-	be in line with the Commission’s Guidance Note of 22 January 2021 (SWD(2021) 12 final) related to financial instruments;
-	include selection criteria to ensure compliance with the ‘Do no significant harm’ Technical Guidance (2021/C58/01) of  supported  transactions under  this  measure  
o	through the use of sustainability proofing; 
o	by requiring that beneficiaries that derived more than 50% of their direct revenues during the preceding financial year from activities or assets on the following list of activities to adopt and publish green transition plans: (i) activities related to fossil fuels, including downstream use ; (ii) activities under the EU Emission Trading System (ETS) achieving projected greenhouse gas emissions that are not lower than the relevant benchmarks ; and (iii) activities related to waste landfills, incinerators  and mechanical biological treatment plants . This requirement could be implemented, for example, by relying on the EIF’s new restricted sectors (non-infra equity Funds – Paris alignment framework), adjusted by certain additional restrictions on ETS sectors and certain transport activities; and 
o	by requiring the verification of legal compliance with the relevant EU and national environmental legislation of the beneficiary by the EIF for all transactions, including those exempted from sustainability proofing.
The implementation of this investment shall be completed by 30 June 2026 (approval of operations by the responsible Investment Committee amounting to 100% of the overall amount of financing allocated to equity instruments for Innovation).
Fund 2 is composed of the following instruments:
o	Investment 2.2.a - Grant scheme for investments in renewable electricity sources for own use with local storage facilities 
The objective of this investment is to provide grants to SMEs, small mid-caps and mid-caps for investments in renewable electricity sources and local storage facilities. 
The investment consists of a grant scheme for the implementation of projects related to energy storage faciltities. 
o	Investment 2.2.b - Guarantee instrument for energy efficiency and renewable energy
The guarantee instrument shall be implemented as a contribution to InvestEU with the EIF as an implementing partner. The instrument aims to address Bulgaria’s challenges in providing support for investments in energy efficiency and renewable energy. The guarantee instrument shall target SMEs, small mid-cap companies and individuals. It is intended to cover a wide range of financial products (e.g. working funds, including revolving credit lines, investment loans, leasing). The sectors to be supported shall be in line with the Regulation (EU) 2021/241 and the eligibility criteria of InvestEU and will be defined following a detailed market assessment.
To ensure that the sub-investment complies with the ‘Do no significant harm’ Technical Guidance (2021/C58/01), the contribution agreement between the European Commission and the Bulgarian Government shall: 
-	require the application of the Commission’s technical guidance on sustainability proofing for the InvestEU Fund; and 
-	exclude the following list of activities and assets from eligibility: (i) activities and assets related to fossil fuels, including downstream use ; (ii) activities and assets under the EU Emission Trading System (ETS) achieving projected greenhouse gas emissions that are not lower than the relevant benchmarks .
The implementation of this investment shall be completed by 30 June 2025, when the InvestEU Investment Committee approves finance or investment operations amounting to 100% of the total amount of finance or investment targeted. 
o	Investment 2.2.c - Grant scheme for the support of businesses in the transition to a circular economy
The objective of this investment is to provide grants for SMEs and large companies in the NACE sector C for the introduction of circular economy production methods. 
The investment consists of a grant scheme for the implementation of projects in the area of circular economy. 
Fund 3 is composed of the following instrument:
o	Investment 2.3.a - Equity instruments for climate neutrality and digital transformation investments
The instruments aim at investing in assets that contribute to climate neutrality and accelerate the green and digital transition in priority sectors in Bulgaria. This shall be carried out by supporting the creation of infrastructure assets (renewables, biomass, storage, recharging infrastructure for electric vehicles, hydrogen), digital infrastructure (ICT, optical infrastructure, data centres, 5G), urban regeneration, energy efficiency and social infrastructure. 
The equity instruments shall be implemented by the European Investment Fund (EIF) as a financial partner (implementing partner) through a direct award to the EIF by a dedicated RRF funding agreement to be signed between the Republic of Bulgaria and the EIF for the RRF supported equity operation. 
For general purpose corporate finance instruments, the investment policy shall:
-	be adopted by the governing bodies of the financial instrument;
-	be in line with the Commission’s Guidance Note of 22 January 2021 (SWD(2021) 12 final) related to financial instruments;
-	include selection criteria to ensure compliance with the ‘Do no significant harm’ Technical Guidance (2021/C58/01) of supported transactions under this measure through the use of sustainability proofing; 
-	require that beneficiaries that derived more than 50% of their direct revenues during the preceding financial year from activities or assets on the following list of activities to adopt and publish green transition plans: (i) activities related to fossil fuels, including downstream use ; (ii) activities under the EU Emission Trading System (ETS) achieving projected greenhouse gas emissions that are not lower than the relevant benchmarks ; and (iii) activities related to waste landfills, incinerators  and mechanical biological treatment plants . This requirement could be implemented, for example, by relying on the EIF’s new restricted sectors (non-infra equity Funds – Paris alignment framework), adjusted by certain additional restrictions on ETS sectors and certain transport activities; and 
-	Require the verification of legal compliance with the relevant EU and national environmental legislation of the beneficiary by the EIF for all transactions, including those exempted from sustainability proofing.
The implementation of this investment shall be completed by 30 June 2026 (approval of operations by the responsible Investment Committee amounting to 100% of the overall amount of financing allocated to equity instruments for climate neutrality and digital transformation investments).
 
"
"Bulgaria","Plovdiv University Paisii Hilendarski","000455457","• Programme to support research and innovation","6.89E+6","The objective of the investment is to support Bulgaria’s research and innovation performance, technology transfer and information-sharing. 
The investment consists in providing financial support to projects by small and mediumsized enterprises and higher education/research institutions, as well as to innovation programmes by higher education institutions."
"Bulgaria","Gabrovo Municipality","000215630","• Green mobility, 
• Support for the renovation of the building stock, 
• Support of the cultural sector","6.79E+6","The objective of the investment is to support sustainable urban mobility measures. 
The investment consists in purchasing zero-emission vehicles and building electric charging stations for public transport vehicles as well as cycling paths and pedestrian crossings.|The objective of the measure is to increase the energy efficiency of the building stock. 
The measure consists in three sub-measures for energy efficiency renovation of residential buildings, non-residential public buildings and non-residential buildings in the fields of manufacturing, trade and services respectively.|The objective of the investment is to support the cultural sector in Bulgaria. 
The measure consists of the entry into force of legal act(s) and provision of grant support.
"
